Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-06-20,0.31248175882979085,0.31512307662991224,0.30984121668495807,0.31072139739990234,78601600,0.0,0.0
1988-06-21,0.3098411283882072,0.31688332425149945,0.30896097142879075,0.31600314378738403,123592000,0.0,0.0
1988-06-22,0.3204040539734807,0.32304457211965676,0.3168833552770122,0.3212842345237732,195563200,0.0,0.0
1988-06-23,0.3221642401781853,0.3221642401781853,0.3168832063674927,0.3168832063674927,71388800,0.0,0.0
1988-06-24,0.3168832063674927,0.32040390340951785,0.31336171016599823,0.3168832063674927,74715200,0.0,0.0
1988-06-27,0.3133618235588074,0.3195238388954291,0.3133618235588074,0.3133618235588074,83619200,0.0,0.0
1988-06-28,0.31512286730984274,0.32568493485450745,0.3133617078898084,0.32568493485450745,162568000,0.0,0.0
1988-06-29,0.32392475300943296,0.32920658846716544,0.3221643919070032,0.32656607031822205,143449600,0.0,0.0
1988-06-30,0.32568493485450745,0.3292064310304225,0.32392459809862667,0.32568493485450745,114688000,0.0,0.0
1988-07-01,0.3274461627006531,0.33008668013860565,0.3256850029125909,0.3274461627006531,94539200,0.0,0.0
1988-07-05,0.32744618834522043,0.33272722363471985,0.32480487154077764,0.33272722363471985,104451200,0.0,0.0
1988-07-06,0.3318470172623424,0.33448753470029496,0.32480484610307003,0.3274461627006531,156553600,0.0,0.0
1988-07-07,0.3274462466548112,0.3274462466548112,0.3186437126102196,0.3230445683002472,105604800,0.0,0.0
1988-07-08,0.32040387676625287,0.3239245735155136,0.3168831800169921,0.3186435401439667,105392000,0.0,0.0
1988-07-11,0.3204039952258826,0.3204039952258826,0.31600311678604365,0.31776347756385803,73628800,0.0,0.0
1988-07-12,0.3168833891892243,0.3186437504781995,0.31336189095604744,0.315123051404953,100900800,0.0,0.0
1988-07-13,0.315123051404953,0.3168833891892243,0.3116015531717761,0.315123051404953,115169600,0.0,0.0
1988-07-14,0.31512286959882524,0.3186435666408504,0.31336171016599823,0.3168832063674927,62809600,0.0,0.0
1988-07-15,0.3168832063674927,0.32040390340951785,0.31512286959882524,0.3168832063674927,83025600,0.0,0.0
1988-07-18,0.31952396134884414,0.3239248418066263,0.31864380406105397,0.32040414214134216,113500800,0.0,0.0
1988-07-19,0.3168833891892243,0.3204040882624708,0.3089610347430172,0.315123051404953,122304000,0.0,0.0
1988-07-20,0.31512292702087413,0.31688326411031215,0.30984106958355606,0.3116014301776886,120086400,0.0,0.0
1988-07-21,0.3080807971771051,0.3098411346361341,0.3010386011718074,0.3027997612953186,149027200,0.0,0.0
1988-07-22,0.30279975680769383,0.30456009424063385,0.29927825927734375,0.29927825927734375,103846400,0.0,0.0
1988-07-25,0.301038533449173,0.3045600302395055,0.2975178358184434,0.301038533449173,105896000,0.0,0.0
1988-07-26,0.301038533449173,0.3045600302395055,0.2975178358184434,0.301038533449173,101528000,0.0,0.0
1988-07-27,0.301038533449173,0.3045600302395055,0.29927819638615527,0.301038533449173,116524800,0.0,0.0
1988-07-28,0.29927814173432804,0.3027996378815926,0.29751778148807934,0.3001583218574524,92680000,0.0,0.0
1988-07-29,0.30456000721823034,0.3133617388773963,0.3027996702882741,0.3124815821647644,158950400,0.0,0.0
1988-08-01,0.31336171016599823,0.3221642401781853,0.3116013733973308,0.3168832063674927,85937600,0.0,0.0
1988-08-02,0.3168833279292029,0.32040402632182646,0.31336183037680343,0.31424281001091003,121284800,0.0,0.0
