"stamp","symbol","open","high","low","close","volume"
"2022-05-27 10:25:00","AAPL","148.26","148.41","147.86","147.911","1204682"
"2022-05-27 10:30:00","AAPL","147.93","148.25","147.8","148.2428","1341160"
"2022-05-27 10:35:00","AAPL","148.25","148.4566","148.07","148.1277","906522"
"2022-05-27 10:40:00","AAPL","148.12","148.15","147.77","147.85","907880"
"2022-05-27 10:45:00","AAPL","147.85","147.9","147.47","147.87","1089353"
"2022-05-27 10:50:00","AAPL","147.87","147.95","147.6701","147.84","679833"
"2022-05-27 10:55:00","AAPL","147.8476","147.92","147.34","147.43","1142339"
"2022-05-27 11:00:00","AAPL","147.44","147.63","147.25","147.4301","898492"
"2022-05-27 11:05:00","AAPL","147.44","147.8261","147.39","147.72","816797"
"2022-05-27 11:10:00","AAPL","147.72","148.04","147.65","147.97","758391"
"2022-05-27 11:15:00","AAPL","147.965","148.1651","147.89","148.1096","679528"
"2022-05-27 11:20:00","AAPL","148.11","148.33","148.07","148.26","678924"
"2022-05-27 11:25:00","AAPL","148.27","148.33","148.11","148.285","858915"
"2022-05-27 11:30:00","AAPL","148.295","148.48","148.25","148.4188","738224"
"2022-05-27 11:35:00","AAPL","148.41","148.4162","148.14","148.3399","828357"
"2022-05-27 11:40:00","AAPL","148.34","148.61","148.305","148.52","1054499"
"2022-05-27 11:45:00","AAPL","148.52","148.7","148.495","148.535","889672"
"2022-05-27 11:50:00","AAPL","148.52","148.65","148.46","148.545","663287"
"2022-05-27 11:55:00","AAPL","148.55","148.61","148.41","148.5931","502203"
"2022-05-27 12:00:00","AAPL","148.6","148.83","148.59","148.745","911787"
"2022-05-27 12:05:00","AAPL","148.75","148.8","148.6","148.66","541568"
"2022-05-27 12:10:00","AAPL","148.66","148.76","148.5549","148.645","596472"
"2022-05-27 12:15:00","AAPL","148.65","148.65","148.1546","148.275","1125170"
"2022-05-27 12:20:00","AAPL","148.28","148.33","147.95","148.005","872820"
"2022-05-27 12:25:00","AAPL","148.0017","148.2799","147.99","148.16","630196"
"2022-05-27 12:30:00","AAPL","148.16","148.42","148.09","148.28","510624"
"2022-05-27 12:35:00","AAPL","148.28","148.33","148.07","148.22","494564"
"2022-05-27 12:40:00","AAPL","148.22","148.4095","148.21","148.265","515613"
"2022-05-27 12:45:00","AAPL","148.265","148.3","148.1","148.1","431703"
"2022-05-27 12:50:00","AAPL","148.105","148.38","148.03","148.29","1095326"
"2022-05-27 12:55:00","AAPL","148.295","148.43","148.285","148.32","431389"
"2022-05-27 13:00:00","AAPL","148.31","148.49","148.26","148.443","484394"
"2022-05-27 13:05:00","AAPL","148.45","148.5","148.31","148.395","561787"
"2022-05-27 13:10:00","AAPL","148.39","148.5","148.31","148.49","378086"
"2022-05-27 13:15:00","AAPL","148.49","148.62","148.43","148.595","456908"
"2022-05-27 13:20:00","AAPL","148.6","148.71","148.5202","148.63","562448"
"2022-05-27 13:25:00","AAPL","148.635","148.65","148.46","148.52","545105"
"2022-05-27 13:30:00","AAPL","148.53","148.64","148.39","148.41","414832"
"2022-05-27 13:35:00","AAPL","148.4033","148.52","148.325","148.375","420999"
"2022-05-27 13:40:00","AAPL","148.3701","148.3701","148.16","148.18","634249"
"2022-05-27 13:45:00","AAPL","148.195","148.28","148.08","148.135","479306"
"2022-05-27 13:50:00","AAPL","148.1245","148.25","148.06","148.21","494127"
"2022-05-27 13:55:00","AAPL","148.2","148.3","148.105","148.295","375997"
"2022-05-27 14:00:00","AAPL","148.3","148.48","148.18","148.425","493394"
"2022-05-27 14:05:00","AAPL","148.425","148.5","148.28","148.5","406604"
"2022-05-27 14:10:00","AAPL","148.4997","148.57","148.46","148.48","450173"
"2022-05-27 14:15:00","AAPL","148.485","148.55","148.41","148.53","502379"
"2022-05-27 14:20:00","AAPL","148.5369","148.63","148.49","148.6201","410587"
"2022-05-27 14:25:00","AAPL","148.6201","148.65","148.4118","148.485","446741"
"2022-05-27 14:30:00","AAPL","148.485","148.51","148.36","148.4901","458630"
"2022-05-27 14:35:00","AAPL","148.4917","148.7","148.43","148.59","547415"
"2022-05-27 14:40:00","AAPL","148.6","148.72","148.44","148.6799","614053"
"2022-05-27 14:45:00","AAPL","148.68","148.78","148.62","148.7","412150"
"2022-05-27 14:50:00","AAPL","148.705","148.8","148.57","148.62","453748"
"2022-05-27 14:55:00","AAPL","148.615","148.85","148.59","148.765","736030"
"2022-05-27 15:00:00","AAPL","148.765","148.82","148.56","148.744","755432"
"2022-05-27 15:05:00","AAPL","148.745","149.07","148.745","149.06","1263651"
"2022-05-27 15:10:00","AAPL","149.06","149.19","148.99","149.03","1168230"
"2022-05-27 15:15:00","AAPL","149.035","149.05","148.8128","149.01","936725"
"2022-05-27 15:20:00","AAPL","149.01","149.09","148.95","149.09","650183"
"2022-05-27 15:25:00","AAPL","149.0885","149.19","149.01","149.03","1029628"
"2022-05-27 15:30:00","AAPL","149.02","149.24","148.84","148.85","1392667"
"2022-05-27 15:35:00","AAPL","148.86","148.94","148.75","148.895","1258911"
"2022-05-27 15:40:00","AAPL","148.895","149.13","148.83","149.045","1204497"
"2022-05-27 15:45:00","AAPL","149.0425","149.06","148.75","148.89","1222881"
"2022-05-27 15:50:00","AAPL","148.89","149.31","148.64","149.16","2576734"
"2022-05-27 15:55:00","AAPL","149.15","149.68","149.025","149.65","4602345"
"2022-05-27 16:00:00","AAPL","149.64","149.8","149.5","149.5004","10690439"
"2022-05-27 16:05:00","AAPL","149.5","149.64","149.48","149.59","282312"
"2022-05-27 16:10:00","AAPL","149.6","149.66","149.56","149.61","123803"
"2022-05-27 16:15:00","AAPL","149.6","149.69","149.58","149.69","43841"
"2022-05-27 16:20:00","AAPL","149.66","149.69","149.63","149.6712","14532"
"2022-05-27 16:25:00","AAPL","149.67","149.8","149.66","149.78","18550"
"2022-05-27 16:30:00","AAPL","149.71","149.8599","149.71","149.84","16843"
"2022-05-27 16:35:00","AAPL","149.86","149.95","149.84","149.92","25983"
"2022-05-27 16:40:00","AAPL","149.9201","149.95","149.64","149.88","35001"
"2022-05-27 16:45:00","AAPL","149.8917","149.9097","149.83","149.85","15193"
"2022-05-27 16:50:00","AAPL","149.84","149.91","149.83","149.91","11158"
"2022-05-27 16:55:00","AAPL","149.85","149.93","149.85","149.93","6745"
"2022-05-27 17:00:00","AAPL","149.92","149.95","149.64","149.89","39110"
"2022-05-27 17:05:00","AAPL","149.8999","149.94","149.86","149.8989","6653"
"2022-05-27 17:10:00","AAPL","149.87","149.94","149.64","149.88","89534"
"2022-05-27 17:15:00","AAPL","149.8701","149.9052","149.7901","149.8","21586"
